Vecindario,Vecindario Latitude,Vecindario Longitude,Lugar,Lugar Latitude,Lugar Longitude,Categoria Lugar
Acorn (neighborhood),37.8054,-122.286,Full Out Studios,37.804,-122.29,Dance Studio
Acorn (neighborhood),37.8054,-122.286,Orbit Coffee & Doughnuts,37.8041,-122.29,Donut Shop
Acorn (neighborhood),37.8054,-122.286,Planet Fitness,37.8035,-122.281,Gym / Fitness Center
Acorn (neighborhood),37.8054,-122.286,7th West,37.8041,-122.291,Bar
Acorn (neighborhood),37.8054,-122.286,Lowell Park,37.8083,-122.285,Park
Acorn (neighborhood),37.8054,-122.286,Shell,37.8022,-122.283,Gas Station
Acorn (neighborhood),37.8054,-122.286,Green Valley Foods,37.8047,-122.288,Liquor Store
Acorn (neighborhood),37.8054,-122.286,Pizza Love,37.8033,-122.282,Pizza Place
Acorn (neighborhood),37.8054,-122.286,Bottles Liquor,37.8063,-122.281,Liquor Store
Acorn (neighborhood),37.8054,-122.286,The Brickhouse,37.8021,-122.289,Bar
Acorn (neighborhood),37.8054,-122.286,Jack London Gateway,37.8034,-122.282,Shopping Plaza
Acorn (neighborhood),37.8054,-122.286,Rainbow Apparel,37.8036,-122.281,Clothing Store
Acorn (neighborhood),37.8054,-122.286,Citi Trends,37.8033,-122.281,Clothing Store
Acorn (neighborhood),37.8054,-122.286,Hong Kong Fast Food,37.8028,-122.282,Chinese Restaurant
Acorn (neighborhood),37.8054,-122.286,sunbeam market,37.8098,-122.286,Liquor Store
Acorn (neighborhood),37.8054,-122.286,Donuts & Burgers,37.8041,-122.291,Donut Shop
Adams Point,37.8104,-122.256,Bay Grape,37.809,-122.255,Wine Shop
Adams Point,37.8104,-122.256,Room 389,37.8087,-122.254,Bar
Adams Point,37.8104,-122.256,Enssaro,37.8089,-122.256,Ethiopian Restaurant
Adams Point,37.8104,-122.256,Old Crow Tattoo & Gallery,37.809,-122.255,Tattoo Parlor
Adams Point,37.8104,-122.256,Jong Ga House,37.809,-122.255,Korean Restaurant
Adams Point,37.8104,-122.256,Mama,37.8091,-122.255,Italian Restaurant
Adams Point,37.8104,-122.256,Cholita Linda,37.8132,-122.259,Food Truck
Adams Point,37.8104,-122.256,Grand Avenue Thai,37.809,-122.255,Thai Restaurant
Adams Point,37.8104,-122.256,The Gardens at Lake Merritt,37.8072,-122.259,Garden
Adams Point,37.8104,-122.256,Children's Fairyland,37.8092,-122.26,Theme Park
Adams Point,37.8104,-122.256,Oaktown Spice Shop,37.8089,-122.251,Herbs & Spices Store
Adams Point,37.8104,-122.256,Equator Coffees & Teas,37.8123,-122.261,Coffee Shop
Adams Point,37.8104,-122.256,Whole Foods Market,37.8126,-122.261,Grocery Store
Adams Point,37.8104,-122.256,Sidebar,37.809,-122.251,New American Restaurant
Adams Point,37.8104,-122.256,Station 33,37.8088,-122.253,Salon / Barbershop
Adams Point,37.8104,-122.256,Ahn's Quarter Pound Burger,37.8086,-122.253,Burger Joint
Adams Point,37.8104,-122.256,1888 Coffee Station,37.8103,-122.259,Coffee Shop
Adams Point,37.8104,-122.256,Bacheesos,37.8099,-122.259,Mediterranean Restaurant
Adams Point,37.8104,-122.256,Los Cantaros Restaurant,37.8091,-122.257,Mexican Restaurant
Adams Point,37.8104,-122.256,Lake Merritt Bird Sanctuary,37.8071,-122.256,Zoo Exhibit
Adams Point,37.8104,-122.256,Lakeside Park Garden Center,37.8072,-122.259,Garden
Adams Point,37.8104,-122.256,Storybook Puppet Theater,37.8094,-122.261,Theater
Adams Point,37.8104,-122.256,The Sacred Well,37.8088,-122.251,Bookstore
Adams Point,37.8104,-122.256,Coach Sushi,37.8087,-122.251,Sushi Restaurant
Adams Point,37.8104,-122.256,The UPS Store,37.8092,-122.255,Shipping Store
Adams Point,37.8104,-122.256,Oasis Kitchen,37.8091,-122.256,Halal Restaurant
Adams Point,37.8104,-122.256,Redbox,37.8121,-122.259,Video Store
Adams Point,37.8104,-122.256,Grand Lake Coffee House,37.8088,-122.253,Coffee Shop
Adams Point,37.8104,-122.256,Grand Express,37.8087,-122.255,Convenience Store
Adams Point,37.8104,-122.256,Dosirak Shop,37.8091,-122.255,Korean Restaurant
Adams Point,37.8104,-122.256,Contrasto,37.809,-122.254,Italian Restaurant
Adams Point,37.8104,-122.256,The Working Body,37.8087,-122.254,Gym
Adams Point,37.8104,-122.256,MudLab,37.8089,-122.253,Grocery Store
Adams Point,37.8104,-122.256,X-Core Studio,37.81,-122.259,Pilates Studio
Adams Point,37.8104,-122.256,Kids Kingdom Playground,37.8074,-122.255,Playground
Adams Point,37.8104,-122.256,Lake Merritt Playground,37.8074,-122.255,Playground
Adams Point,37.8104,-122.256,Tacos El Ultimo Baile,37.8086,-122.252,Taco Place
Adams Point,37.8104,-122.256,Lake Merritt Boating Center,37.8067,-122.257,Harbor / Marina
Adams Point,37.8104,-122.256,Junior Center of Art and Science,37.8064,-122.257,Art Gallery
Adams Point,37.8104,-122.256,The Chapel of Peace,37.8091,-122.261,Theme Park Ride / Attraction
Adams Point,37.8104,-122.256,The Raven's Wing,37.8089,-122.251,Herbs & Spices Store
Adams Point,37.8104,-122.256,Jolly Trolly,37.8085,-122.261,Theme Park Ride / Attraction
Allendale,37.7893,-122.204,Vientian Cafe,37.7861,-122.206,Thai Restaurant
Allendale,37.7893,-122.204,Therapy,37.7912,-122.199,Furniture / Home Store
Allendale,37.7893,-122.204,Domino's Pizza,37.7923,-122.2,Pizza Place
Allendale,37.7893,-122.204,Quik Stop,37.791,-122.205,Convenience Store
Allendale,37.7893,-122.204,Allendale Recreation Center,37.7902,-122.203,Baseball Field
Allendale,37.7893,-122.204,China Pack Kitchen,37.7907,-122.205,Chinese Restaurant
Allendale,37.7893,-122.204,Golden 7 Liquor Store,37.7911,-122.205,Liquor Store
Allendale,37.7893,-122.204,Acme House of Music,37.7912,-122.199,Music Venue
Arroyo Viejo,37.7612,-122.178,Arroyo Veijo Park,37.7612,-122.174,Park
Bartlett,37.789,-122.21,Las Palmas,37.789,-122.215,Mexican Restaurant
Bartlett,37.789,-122.21,Renee's Oriental Market,37.7882,-122.209,Market
Bartlett,37.789,-122.21,East Side Oakland,37.789,-122.215,Playground
Bartlett,37.789,-122.21,Midtown Foods,37.789,-122.215,Liquor Store
Bartlett,37.789,-122.21,Queen of Sheba Market,37.7858,-122.214,Market
Bartlett,37.789,-122.21,China Pack Kitchen,37.7907,-122.205,Chinese Restaurant
Bella Vista,37.7997,-122.238,The Perfect Sidekick LGBT Gym,37.8024,-122.241,Gym / Fitness Center
Bella Vista,37.7997,-122.238,ampm,37.8031,-122.235,Convenience Store
Bella Vista,37.7997,-122.238,Dave's Grocery & Liquor,37.8022,-122.242,Grocery Store
Bella Vista,37.7997,-122.238,24 liquor,37.8025,-122.239,Liquor Store
Bella Vista,37.7997,-122.238,Park Massage,37.8028,-122.239,Massage Studio
Bella Vista,37.7997,-122.238,Creative Framing & Gallery,37.8022,-122.242,Frame Store
Brookfield Village,37.7352,-122.186,East Oakland Sports Center,37.7381,-122.19,Gym / Fitness Center
Brookfield Village,37.7352,-122.186,Eagle Tree Service,37.7346,-122.187,Tree
Brookfield Village,37.7352,-122.186,Brookfield Food Center,37.7366,-122.183,Deli / Bodega
Brookfield Village,37.7352,-122.186,Brookfield Discount Liquor,37.7368,-122.183,Liquor Store
Brookfield Village,37.7352,-122.186,Saleh Smokehouse Market,37.7369,-122.183,BBQ Joint
Brookfield Village,37.7352,-122.186,Ira Jenkins Recreation Center,37.7369,-122.191,Gym
Bushrod Neighborhood,37.846,-122.263,Addis Ethiopian Restaurant,37.8474,-122.261,Ethiopian Restaurant
Bushrod Neighborhood,37.846,-122.263,Nick's Pizza,37.8483,-122.266,Pizza Place
Bushrod Neighborhood,37.846,-122.263,Oriental B.B.Q. Chicken Town,37.8474,-122.261,Korean Restaurant
Bushrod Neighborhood,37.846,-122.263,Saysetha Thai Cuisine,37.8485,-122.261,Thai Restaurant
Bushrod Neighborhood,37.846,-122.263,Dover Street Park,37.8437,-122.266,Playground
Bushrod Neighborhood,37.846,-122.263,William's Liquor and Market/Deli,37.8449,-122.261,Liquor Store
Bushrod Neighborhood,37.846,-122.263,Subway,37.8493,-122.266,Sandwich Place
Bushrod Neighborhood,37.846,-122.263,Uptown Market & Liquor,37.8419,-122.265,Liquor Store
Bushrod Neighborhood,37.846,-122.263,A+ Burger,37.8485,-122.26,Burger Joint
Bushrod Neighborhood,37.846,-122.263,Bushrod Park,37.8457,-122.264,Park
Bushrod Neighborhood,37.846,-122.263,Bushrod Community Recreation Center,37.8455,-122.263,Gym
Bushrod Neighborhood,37.846,-122.263,Shewat,37.8467,-122.266,Ethiopian Restaurant
Bushrod Neighborhood,37.846,-122.263,T&K Market,37.8494,-122.265,Smoke Shop
Bushrod Neighborhood,37.846,-122.263,M & S Kitchen,37.8494,-122.266,Chinese Restaurant
Bushrod Neighborhood,37.846,-122.263,Total Estate Liquidation,37.8499,-122.261,Thrift / Vintage Store
